124493	1	Cookiezi	13959.1	98.72635650634766	18956	7529890	317413	27108	29058981559	165834770701	81	600	401	KR	1
2558286	2	Rafis	13501.9	99.06993865966797	219553	36046395	1980463	185329	40194154988	405211788981	183	1753	872	PL	1
4787150	3	Vaxei	13439.2	98.28858947753906	109054	17654483	1360077	143622	24217732874	176492416762	51	705	674	US	1
1777162	4	firebat92	13256	98.79411315917969	130455	30388580	1295637	112646	38687740667	370728917705	169	1439	716	KR	2
2831793	5	filsdelama	13135.4	98.94459533691406	123658	24945769	1699381	167905	32609048061	283418413940	216	1609	570	FR	1
50265	6	hvick225	12421.4	98.92845153808594	134059	21587819	908078	87151	47284933606	236965222131	826	3471	700	TW	1
2003326	7	Emilia	12007.2	96.62425231933594	80574	15382157	2309517	277054	28533590603	126567331122	39	1195	994	SG	1
3219026	8	Rohulk	11751.5	99.43563842773438	42666	24161002	1564209	175852	92957389746	408731884882	71	2124	1928	RO	1
2562987	9	osu player84	11741.1	98.49751281738281	59883	11260527	922799	141693	12305828386	84455067248	24	395	887	LT	1
4163860	10	My Angel MrBooM	11666.5	98.95288848876953	121590	22548583	1417253	125654	36043456761	247488784570	95	1750	759	PL	2
1160923	11	Green NPC	11615.4	99.03234100341797	87792	18144695	2677311	342570	17340477889	113559615382	23	768	908	KR	3
754565	12	Dustice	11548.9	98.95700073242188	87657	19811088	1367317	150481	44996691666	215451039536	118	2402	1417	DE	1
2204373	13	Spare	11451.1	99.15658569335938	75658	14730518	667725	87531	41631097273	198650668425	378	1508	1047	GB	1
6304246	14	_RyuK	11446.2	98.58810424804688	73522	11863407	904658	98561	26462429474	143057588334	28	961	641	CA	1
5339515	15	Mathi	11384.8	98.65684509277344	104343	21531525	1005412	100546	27029484297	282833591270	31	648	559	CL	1
652457	16	_index	11347.4	98.73564147949219	57804	17962498	1035534	100880	39982056898	268707125198	426	1539	522	RU	1
256802	17	HappyStick	11325.1	98.51158905029297	184755	41230731	2432389	191442	60741242760	599366165784	147	2615	488	US	3
3069354	18	DanyL	11247.7	97.33220672607422	80117	14638718	1010601	124442	20565857845	181470100574	79	838	295	CL	2
1419095	19	bro_gamer72	11220.3	99.17572784423828	82037	22048534	1410665	167360	22616782651	223557903164	30	677	740	US	4
2258797	20	-Konpaku-	11198.2	98.99348449707031	80714	21187585	1527509	135038	31790460963	212933637827	85	1249	1016	KR	4
3043603	21	kablaze	11148.9	99.30030059814453	112290	24916996	1761819	250905	51966767572	313430630915	559	1774	1073	US	5
4650315	22	idke	11144.3	98.6660385131836	42113	15947508	1207788	89630	26418813164	275437340468	16	510	400	US	6
1883865	23	Yaong	11098.9	99.39006042480469	100630	26375139	1200531	176412	67020500048	397965614273	631	2081	624	KR	5
613592	24	Adamqs	11073.4	99.31600189208984	148381	28079464	2292850	244323	45967394071	344585840892	149	1931	1057	PL	3
1389663	25	talala	11068.8	98.71048736572266	194757	36672863	3251753	380722	51661242235	359495389369	136	2455	1535	RU	2
